State,Name of legal aid organization,website,Phone number,Mailing address,"City, State",Zip Code,Additional resources,,,,,,,
Alabama,N/A,,N/A,N/A,,,http://www.expungementalabamalawyer.com/update-alabamas-expungement-law/,UPDATE to alabama expungement law: ,,,,,,
Alabama,Legal Services Alabama,https://www.legalservicesalabama.org/gethelp/resources/news_articles/lsa-mobilizes-to-help-low-income-alabamians-restore-their-voting-rights.html,1-866-456-4995 ,,,,multiple offices ,,,,,,,
Alaska,N/A,N/A,N/A,N/A,,,,,,,,,,
Arizona,Record sealing eligability test ,https://www.recordgone.com/start_test,N/A,N/A,,,,,,,,,,
Arkansas,Legal Aid of Arkansas,http://arlegalservices.org,870-972-9224,714 South Main Street,"Jonesboro, Arkansas",72401,http://arlegalservices.org/interactiveforms,,,,,,,
California,Legal Services of Northern California,http://www.lsnc.net,916-551-2150,421 North Oak Street,"Ukiah, CA ",95482,,,,,,,,
California,Sacramento Public Law Library Self Help Video ,https://saclaw.org/,N/A,,,,click on most popular links ,,,,,,,
California,Legal Aid Foundation of Los Angeles,http://lafla.org,800-399-4529,"634 South Spring Street, suite 400A","Los Angeles, California",90014,,,,,,,,
California,Lawyers' Committee for Civil Rights- second Chance legal clinic,http://lccr.com,415-543-9444,"131 Steuart Street, Suite 400","San Francisco, California",94105,http://lawprojectla.org/workshops.html,,https://lccr.com/programs/immigrant-justice/immigrant-post-conviction-relief-project/expungement/,,,,,maureencain@aol.com
Colorado,Colorado Legal Services,https://www.coadvocatesforum.org/cls_probono/nwproject/ ,Northwest Colorado Legal Services Project at 800-521-6968,1000 West 6th Street,"Pueblo, Colorado",81003,https://legalclinicsincolorado.wordpress.com/clinics-in-other-colorado-counties/,,,,,,,
Colorado,Colorado Criminal Defense Institute,http://ccdinstitute.org/community/collateral-relief-clinics-free-to-the-public/,303-758-2454,N/A,,,http://www.ccdinstitute.org/sealing-of-records/,,,,,,,
Colorado,Colorado Juvenile Defender Center,http://cjdc.org/wp/,303-882-6620,1245 East Colfax Avenue,"Denver, Colorado",80218,For Juvenile records only,https://cleanslateclearinghouse.org/,,,,,,
Connecticut,Statewide Legal Services,https://slsct.org/volunteer,800-453-3320,"1290 Silas Deane Highway, Suite 3A","Wethersfield, Connecticut",6109,contact between 9am -12pm or 1pm - 2pm weekdays. apply online http://apply.slsct.org/,,,,,,,
Delaware,APEX Program ,https://apex.delawareworks.com/,Dominique Truitt 302-333-7605,,,,https://courts.delaware.gov/forms/download.aspx?ID=98858,,,,,,,
District of Columbia,Law Students Court,https://dclawstudents.org/expunge-dc/,202-607-2721 202.638.4798,4340 Connecticut Aveune NW,"Washington, DC",20008,expungement@dclawstudents.org,,,,,,,
District of Columbia,Public Defender Service for the District of Columba,http://www.pdsdc.org/need-legal-advice/record-sealing-and-expungement,202-628-1200,"633 Indiana Avenue, 2nd fl N.W.","Washington, DC",20004,Monday through Friday from 9:00 a.m. to 5:30 p.m. (excluding federal and District holidays),,,,,,,
Florida,Three Rivers Legal Services,https://www.trls.org/Low-Income-Taxpayer-Clinic/,352-372-0519 or  866-256-8091,"901 NW 8th Avenue, Suite D-5","Gainesville, Florida",32608,http://www.fdle.state.fl.us/cms/seal-and-expunge-process/sealing-and-expunge-home.aspx https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,,,,,,,
Georgia,Georgia Justice Project- Criminal Records Program,https://www.gjp.org/programs/criminal-records/faqs/faqs-expungements/,(404) 827-0027 ,438 Edgewood Avenue,"Atlanta, Georgia",30312,,,,,,,,
Hawaii,N/A,https://expungement.uslegal.com/expungement-of-criminal-records/hawaii-expungement-law/,N/A,N/A,,,,,,,,,,
Idaho,Idaho Legal Aid Assistance ,https://www.idaholegalaid.org/node/2568/juvenile-expungement-forms,N/A,N/A,,,https://www.idaholegalaid.org/node/2413/apply-legal-assistance,,,,,,,
Illinois,Cabrini Green Legal Aid,www.cgla.net,312-738-2452,740 North Milwalkee Avenue,"Chicago, Illinois",60642,,,,,,,,
Illinois,Chicago Legal Clinic,www.clclaw.org,773-731-1762,2938 E. 91st Street ,"Chicago, IL",60617,,,,,,,,
Illinois,Legal Assistance Foundation of Metropolitan Chicago,www.lafchicago.org,312-341-1070,"120 South LaSalle Street, Suite 900","Chicago, Illinois",60603,https://www.illinoislegalaid.org/get-legal-help,,,,,,,
Illinois,James B Moran Center for Youth Advocacy,www.moran-center.org,847-942-1410,1123 Emerson Street ,Evanston IL,60201,https://moran-center.org/wp-content/uploads/2018/04/Expungement-Help-Desk-FLYER-1.pdf or https://moran-center.org/wp-content/uploads/2018/04/Expungement-Help-Desk-Booklet-4.pdf,,,,,,,
Illinois,Illinois Courts,http://www.illinoiscourts.gov/forms/approved/expungement/expungement.asp,708-371-4930,Fifth Municipal District Courthouse 10220 South 76th Avenue,"Bridgeview, Illinois",60453,Tuesdays only 8am - 12pm lower  level cafeteria,,,,,,,
Indiana,Neighborhood Christian Legal Clinic,http://www.nclegalclinic.org/Services/ProjectGRACE.aspx,317.429.4131 ext. 164,"200 E. Washington Street, Room B2","Indianapolis, Indiana",46204,,,,,,,,
Indiana,Volunteer Lawyer Program of Northeast Indiania,http://www.vlpnei.org,"260-407-0917 Monday-Friday
9 a.m.-4:30 p.m.",111 West Wayne Street,"Fort Wayne, IN",46802,Expungement referred through 2nd Chance Clinic are eligable for their services ,,,,,,,
Indiana,Indianapolis Legal Aid Society,http://www.indylas.org,317-635-9538,615 Alabama Street #122,"Indianapolis, Indiana",46204, An appointment is required to see an attorney.,,,,,,,
Indiana,"Indiana Legal Services, Inc.",https://www.indianalegalservices.org/node/762/limiting-who-can-see-your-criminal-record,317-631-9410,151 North Delaware Street,"Indianapolis, Indiana",46204,,,,,,,,
Iowa,Iowa Legal Aid,https://www.iowalegalaid.org/resource/can-i-expunge-my-adult-criminal-conviction-in-1?ref=ty1ji#i1584710D-2000-4118-A300-DDF34624BC49,(800) 532-1275,N/A,,,,,,,,,,
Kansas,Kansas Legal Services,http://www.kansaslegalservices.org,785-233-2068,712 South Kansas Avenue Suite 200,"Topeka, Kansas",66603,,,,,,,,
Kentucky,Legal Aid Society,http://www.laslou.org/,502-584-1254,416 West Muhammad Ali Boulavard Suite 300,"Louisville, Kentucky",40202,,,,,,,,
Kentucky,Legal Aid Network of Kentucky,http://kyjustice.org/expungement,(502-583-1801) ,http://kyjustice.org/contactus (different locations) ,,,http://kyjustice.org/expungement_faq#0.2_K,,,,,,,
Louisiana,Justice & Accountability Center of Louisiana,https://www.jaclouisiana.org/expungements,504 322 4050,"4035 Washington Avenue, Suite 203","New Orleans, Louisiana",70125,,,,,,,,
Louisiana,Southeast Louisiana Legal Services,https://slls.org/gethelp/,855-512-3980,715 Saint Ferdinand Street,"Baton Rouge, Louisiana",70802,,,,,,,,
Maine,Maine Volunteer Lawyers Project,http://vlp.org/our-programs,Southern Maine: 1-800-442-4293 Northern Maine: 1-888-956-4276 ,http://vlp.org/access-justice-today,,,https://www.legalmatch.com/law-library/article/expunging-a-conviction-in-maine.html,,,,,,,
Maryland,Maryland Legal Aid,https://www.mdlab.org/get-help-services/joining-forces-project/,(443) 863-4040,500 East Lexington Street,"Baltimore, Maryland",21202,,,,,,,,
Maryland,The Maryland Volunteer Lawyers Services,http://mvlslaw.org,(410) 547-6537 or (800) 510-0050,"201 North Charles Street, Suite 1400","Baltimore, Maryland",21201,,,,,,,,
Maryland,The Office of the Public Defender,http://www.opd.state.md.us,410-367-1631 x 306,"4151 Park Heights Avenue, Suite 220 ","Baltimore, Maryland",21215,,,,,,,,
Maryland,Suitland Law Clinic,http://www.clspgc.org,"240-391-6370, ext. 5",N/A,,,,,,,,,,
Maryland,Homeless Persons Represenation Project,http://www.hprplaw.org/get_legal_help/expungement,800-773-4340,"201 North Charles Street, Suite 1104","Baltimore, Maryland",21201,http://www.hprplaw.org/get_legal_help/expungement info for different locations (don't default to the headquarters i think) ,,,,,,,
Massachusetts,Greater Boston Legal Services,http://www.gbls.org,617-371-1234,197 Friend Street,"Boston, Massachusets",2114,,,,,,,,
Michigan,Legal Aid and Defender Assoication,http://semasg.org/lada/,313-967-5555,"613 Abbott Street, 6th floor","Detroit, Michigan",48226,,,,,,,,
Michigan,Pro Bono Program of Western Michigan,https://www.lawestmi.org/i-need-help/services/,614-774-0672,89 Ionia Avenue NW Suite 400,"Grrand Rapids, Michigan",49503,,,,,,,,
Minnesota,St. Croix Legal Services,http://www.stcroixlegal.org/expungements/,651-323-2651,522 Fourth Street South,"Stillwater, Minnesota",55082,,,,,,,,
Minnesota,The Legal Rights Center,http://www.legalrightscenter.org/post-conviction-help.html,(612-337-0030),1611 Park Avenue South,"Minneapolis, Minnesota",55404,office@legalrightscenter.org,,,,,,,
Minnesota,Volunteer Lawyers Network,http://vlnmn.org,(612) 752-6677 or (612) 752-6655 ,"600 Nicollet Mall, Suite 390A","Minneapolis, Minnesota",55402,VLN@vlnmn.org,,,,,,,
Minnesota,Neighborhood Justice Center,http://www.njcinc.org,651-222-4703,500 Laurel Avenue,"St. Paul, Minnesota",55102,,,,,,,,
Mississippi,Mississippi Center for Justice,http://www.mscenterforjustice.org,(601) 352-2269,"5 Old River Place, Suite 203","Jackson, Mississippi",39215,,,,,,,,
